year,Base case cost,Elfin cove (joe's creek),Elfin cove hydroelectric permitting -- crooked creek,Ernie's creek (elfin cove),"Crooked creek and jim's lake (elfin cove) -- crooked creek, jim's lake",Crooked creek (elfin cove),Roy's creek (elfin cove),Wood (wood lake),"Elfin cove (margaret creek; 58.07', 136.20')"
2020,77586.7837114,,,,,,,,
2021,80498.3624118,124704.562421,,-590055.422723,259620.710342,234667.352841,272084.116729,2431722.53144,478991.275403
2022,82369.0140121,123832.613886,,-624522.623856,253889.276642,231575.47935,268065.989069,2381728.8106,469104.918529
2023,83582.5908567,122734.165366,,-649416.614076,248480.80103,228326.764538,263951.905113,2333514.07667,459621.329469
2024,84318.4475346,121390.715145,,-669605.337626,243140.631603,224892.037252,259691.184926,2286574.95931,450292.992894
2025,85161.5817236,119992.425667,,-694594.979595,237588.572294,221441.337141,255411.300268,2240157.95067,440856.353687
2026,86733.867746,119160.353697,,-723766.847707,232443.870426,218594.587813,251731.755735,2194859.81796,431928.452817
2027,87833.4622351,118085.855535,,-748237.968381,227364.62095,215561.001435,247903.493127,2150766.99543,423146.330372
2028,88688.3299019,116897.616716,,-770305.39255,222360.657419,212463.442297,244038.442439,2107755.30546,414522.440882
2029,89603.5411687,115604.447682,,-797232.95669,217087.725793,209295.443629,240098.142532,2065121.83779,405724.650588
2030,89621.9794909,113839.485458,,-814848.784632,211880.076033,205717.555606,235805.970753,2023855.83669,397056.852554
2031,91239.5232134,113112.887056,,-845879.63541,207074.993765,203191.522591,232517.952221,1983148.8892,388901.623234
2032,92981.1065581,112638.374217,,-874149.46697,202704.516291,200963.267813,229553.389689,1943801.54684,381256.010903
2033,94327.1040805,111797.12949,,-902702.58112,198031.167105,198408.273399,226276.875664,1904944.71883,373385.395279
2034,96234.6323252,111447.093635,,-933106.474543,193794.263813,196378.802165,223529.791657,1867186.55452,366031.99397
2035,97295.6739587,110672.086487,,-954161.829469,189661.796713,193981.461681,220471.080297,1830739.75077,358838.389736
2036,98766.5492089,109939.787197,,-984790.684705,185163.006184,191645.112261,217444.993698,1794215.22905,351369.882876
2037,99590.4069701,109079.210511,,-1003354.51268,181179.650875,189240.561276,214416.828813,1759490.58891,344464.006903
2038,101422.505715,108760.004651,,-1033420.25995,177208.753479,187389.198268,211902.31287,1724920.20889,337663.375118
2039,103255.442565,108663.662732,,-1058343.79937,173750.362746,185804.868185,209688.725938,1691775.63462,331433.339985
2040,105264.381582,108472.264651,,-1090562.15543,169899.628239,184145.134833,207380.657655,1658573.02099,324891.093329
2041,105264.381582,107477.789188,,-1094432.78214,166704.157342,181772.292331,204498.129181,1628032.82276,319011.820929
2042,105264.381582,106506.621742,,-1098212.69103,163583.580295,179455.063326,201683.159969,1598208.41042,313270.343976
2043,104829.404799,105123.239242,,-1102338.98513,160101.16496,176757.167571,198499.189788,1568648.03069,307228.456053
2044,104829.404799,104197.06179,,-1105943.78717,157125.15077,174547.285778,195814.625942,1540205.25457,301752.956932
2045,105264.381582,103727.568407,,-1109029.12487,154653.8637,172824.174875,193627.958348,1512864.08284,296840.766612
2046,105264.381582,102844.29676,,-1112466.93198,151815.715403,170716.667369,191067.758759,1485738.93779,291618.923734
2047,105699.358365,102416.703578,,-1115389.1887,149479.063002,169093.53136,189002.54064,1459684.51521,286954.444601
2048,105699.358365,101574.350089,,-1118667.73707,146772.393853,167083.65557,186560.944036,1433815.96093,281974.50714
2049,106134.335149,101186.716047,,-1121434.46767,144564.139054,165555.863033,184611.549143,1408988.67775,277546.263764
