year,Base case diesel consumed,Modeled diesel efficiency
2019,23466.955559,21333.5959627
2020,23299.3344479,21181.2131344
2021,23131.7133367,21028.8303061
2022,22880.28167,20800.2560637
2023,22712.6605589,20647.8732353
2024,22545.0394477,20495.490407
2025,22293.607781,20266.9161646
2026,22125.9866699,20114.5333363
2027,21958.3655588,19962.150508
2028,21790.7444476,19809.7676797
2029,21539.3127809,19581.1934372
2030,21287.8811142,19352.6191948
2031,21120.2600031,19200.2363664
2032,21036.4494475,19124.0449523
2033,20868.8283364,18971.662124
2034,20785.0177808,18895.4707098
2035,20701.2072253,18819.2792957
2036,20533.5861141,18666.8964674
2037,20449.7755585,18590.7050532
2038,20365.965003,18514.5136391
