year,Base case diesel consumed,Elfin cove (joe's creek),Elfin cove hydroelectric permitting -- crooked creek,Ernie's creek (elfin cove),"Crooked creek and jim's lake (elfin cove) -- crooked creek, jim's lake",Crooked creek (elfin cove),Roy's creek (elfin cove),Wood (wood lake),"Elfin cove (margaret creek; 58.07', 136.20')"
2020,23299.3344479,,7628.67068953,,,,,,
2021,23131.7133367,12127.5296236,7461.04957839,0.0,0.0,11597.9165037,10420.9984595,0.0,0.0
2022,22880.28167,11876.0979569,7209.61791169,-251.431666703,-251.431666703,11346.484837,10169.5667928,-251.431666703,-251.431666703
2023,22712.6605589,11708.4768457,7041.99680056,-419.052777839,-419.052777839,11178.8637259,10001.9456817,-419.052777839,-419.052777839
2024,22545.0394477,11540.8557346,6874.37568942,-586.673888975,-586.673888975,11011.2426147,9834.32457055,-586.673888975,-586.673888975
2025,22293.607781,11289.4240679,6622.94402272,-838.105555678,-838.105555678,10759.810948,9582.89290384,-838.105555678,-838.105555678
2026,22125.9866699,11121.8029568,6455.32291158,-1005.72666681,-1005.72666681,10592.1898369,9415.27179271,-1005.72666681,-1005.72666681
2027,21958.3655588,10954.1818456,6287.70180045,-1173.34777795,-1173.34777795,10424.5687258,9247.65068157,-1173.34777795,-1173.34777795
2028,21790.7444476,10786.5607345,6120.08068931,-1340.96888909,-1340.96888909,10256.9476146,9080.02957044,-1340.96888909,-1340.96888909
2029,21539.3127809,10535.1290678,5868.64902261,-1592.40055579,-1592.40055579,10005.5159479,8828.59790373,-1592.40055579,-1592.40055579
2030,21287.8811142,10283.6974011,5617.2173559,-1843.83222249,-1843.83222249,9754.08428121,8577.16623703,-1843.83222249,-1843.83222249
2031,21120.2600031,10116.07629,5449.59624477,-2011.45333363,-2011.45333363,9586.46317008,8409.54512589,-2011.45333363,-2011.45333363
2032,21036.4494475,10032.2657344,5365.7856892,-2095.2638892,-2095.2638892,9502.65261451,8325.73457032,-2095.2638892,-2095.2638892
2033,20868.8283364,9864.64462326,5198.16457806,-2262.88500033,-2262.88500033,9335.03150337,8158.11345919,-2262.88500033,-2262.88500033
2034,20785.0177808,9780.83406769,5114.3540225,-2346.6955559,-2346.6955559,9251.22094781,8074.30290362,-2346.6955559,-2346.6955559
2035,20701.2072253,9697.02351212,5030.54346693,-2430.50611147,-2430.50611147,9167.41039224,7990.49234805,-2430.50611147,-2430.50611147
2036,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2037,20449.7755585,9445.59184542,4779.11180022,-2681.93777817,-2681.93777817,8915.97872554,7739.06068135,-2681.93777817,-2681.93777817
2038,20365.965003,9361.78128985,4695.30124466,-2765.74833374,-2765.74833374,8832.16816997,7655.25012578,-2765.74833374,-2765.74833374
2039,20365.965003,9361.78128985,4695.30124466,-2765.74833374,-2765.74833374,8832.16816997,7655.25012578,-2765.74833374,-2765.74833374
2040,20282.1544474,9277.97073428,4611.49068909,-2849.55888931,-2849.55888931,8748.3576144,7571.43957021,-2849.55888931,-2849.55888931
