year,Base case cost,Modeled biomass for heat (pellet)
2017,98991.665347,110119.380482
2018,110422.065347,119142.376043
2019,126853.265347,132194.953728
2020,131027.082563,134666.315979
2021,136238.532563,138666.982629
2022,140407.692563,141838.255257
2023,143187.132563,143902.28343
2024,145271.712563,145414.497038
2025,143883.578456,143318.272739
2026,147260.078456,145850.873964
2027,149961.278456,147850.966227
2028,152324.828456,149586.44807
2029,155363.678456,151861.178716
2030,152507.585672,148522.861902
2031,156114.265672,151232.431845
2032,159393.065672,153686.856457
2033,162671.865672,156144.27332
2034,166278.545672,158862.821697
2035,168573.705672,160551.386125
2036,172180.385672,163275.574884
