year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,349555.0,184012.0,165543.0
2004,,318937.0,85866.0,233071.0
2005,,301614.0,87642.0,213972.0
2006,,302051.0,97434.0,204617.0
2007,,295567.0,92752.0,202815.0
2008,,334177.0,96898.0,237279.0
2009,,291866.0,87500.0,204366.0
2010,,259139.0,81572.0,177567.0
2011,,248283.0,72629.0,175654.0
2012,,245921.0,82108.0,163813.0
2013,,227220.0,107312.0,119908.0
2014,start of forecast,237316.0,84191.0,153125.0
2015,,236422.0,83297.0,153125.0
2016,,235445.0,82320.0,153125.0
2017,,234376.0,81251.0,153125.0
2018,,232980.0,79855.0,153125.0
2019,,231188.0,78063.0,153125.0
2020,,229367.0,76242.0,153125.0
2021,,227596.0,74471.0,153125.0
2022,,225708.0,72583.0,153125.0
2023,,223845.0,70720.0,153125.0
2024,,221911.0,68786.0,153125.0
2025,,219986.0,66861.0,153125.0
2026,,218037.0,64912.0,153125.0
2027,,216191.0,63066.0,153125.0
2028,,214413.0,61288.0,153125.0
2029,,212143.0,59018.0,153125.0
2030,,210105.0,56980.0,153125.0
2031,,208374.0,55249.0,153125.0
2032,,207074.0,53949.0,153125.0
2033,,205842.0,52717.0,153125.0
2034,,204783.0,51658.0,153125.0
2035,,203756.0,50631.0,153125.0
2036,,202750.0,49625.0,153125.0
2037,,201802.0,48677.0,153125.0
2038,,201009.0,47884.0,153125.0
2039,,200412.0,47287.0,153125.0
2040,,199984.0,46859.0,153125.0
