year,Base case diesel consumed,Modeled residential energy efficiency
2017,155766.907645,139362.681184
2018,155766.907645,139362.681184
2019,153663.979712,137259.75325
2020,153663.979712,137259.75325
2021,151561.051778,135156.825317
2022,151561.051778,135156.825317
2023,149458.123844,133053.897383
2024,149458.123844,133053.897383
2025,147355.195911,130950.96945
2026,147355.195911,130950.96945
2027,145252.267977,128848.041516
2028,145252.267977,128848.041516
2029,143149.340044,126745.113583
2030,141046.41211,124642.185649
2031,138943.484177,122539.257716
2032,136840.556243,120436.329782
2033,136840.556243,120436.329782
2034,134737.62831,118333.401849
2035,134737.62831,118333.401849
2036,132634.700376,116230.473915
