year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,273522.0,239768.264722
2018,273522.0,239768.264722
2019,271419.0,237665.264722
2020,271419.0,237665.264722
2021,269316.0,235562.264722
2022,269316.0,235562.264722
2023,267213.0,233459.264722
2024,267213.0,233459.264722
2025,265110.0,231356.264722
2026,265110.0,231356.264722
2027,263007.0,229253.264722
2028,263007.0,229253.264722
2029,260904.0,227150.264722
2030,258801.0,225047.264722
2031,256698.0,222944.264722
2032,254596.0,220842.264722
2033,254596.0,220842.264722
2034,252493.0,218739.264722
2035,252493.0,218739.264722
2036,250390.0,216636.264722
