year,Base case cost,Modeled biomass for heat (pellet)
2017,788443.689886,842870.775545
2018,862294.629886,906657.580555
2019,956089.825333,987035.547795
2020,1007659.43533,1031285.36005
2021,1032169.84078,1050859.97738
2022,1059101.44078,1073551.61412
2023,1066864.04623,1078444.66954
2024,1082896.82623,1091627.68839
2025,1090280.89167,1096181.31779
2026,1111489.69167,1113903.47919
2027,1121083.22712,1120366.34322
2028,1136863.64712,1133371.62705
2029,1146036.58257,1139449.46504
2030,1149739.07801,1140749.10186
2031,1160932.21346,1148543.52846
2032,1171793.47147,1156022.44661
2033,1194707.11147,1175232.19473
2034,1207563.02692,1184399.82898
2035,1222712.60692,1196888.98465
2036,1235063.80236,1205582.03121
