year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,273522.0,242836.786111
2018,273522.0,242836.786111
2019,271419.0,240733.786111
2020,271419.0,240733.786111
2021,269316.0,238630.786111
2022,269316.0,238630.786111
2023,267213.0,236527.786111
2024,267213.0,236527.786111
2025,265110.0,234424.786111
2026,265110.0,234424.786111
2027,263007.0,232321.786111
2028,263007.0,232321.786111
2029,260904.0,230218.786111
2030,258801.0,228115.786111
2031,256698.0,226012.786111
2032,254596.0,223910.786111
2033,254596.0,223910.786111
2034,252493.0,221807.786111
2035,252493.0,221807.786111
2036,250390.0,219704.786111
