year,Base case diesel consumed,Modeled transmission and interties
2021,63279.400584,0.0
2022,63567.034223,0.0
2023,63854.6678621,0.0
2024,64070.3930913,0.0
2025,64358.0267303,0.0
2026,64861.3855986,0.0
2027,65149.0192376,0.0
2028,65508.5612864,0.0
2029,65868.1033352,0.0
2030,66227.645384,0.0
2031,66659.0958425,0.0
2032,67018.6378913,0.0
2033,67378.17994,0.0
2034,67809.6303986,0.0
2035,68169.1724473,0.0
2036,68456.8060863,0.0
2037,68816.3481351,0.0
2038,69247.7985936,0.0
2039,69607.3406424,0.0
2040,70110.6995107,0.0
