year,Base case cost,Modeled wind power,Eek wind feasibility
2019,182259.774448,,
2020,193793.164289,,
2021,202494.081869,,
2022,209135.542594,,
2023,213913.137338,,
2024,217839.33651,,
2025,222678.772487,,
2026,229609.305019,,
2027,234536.469255,,
2028,239106.248695,,
2029,245029.344407,,
2030,249015.946644,,
2031,255970.928035,,
2032,262713.060534,,
2033,268838.937961,,
2034,276663.292026,,
2035,281538.682207,,
2036,288203.153624,,
2037,293157.643056,,
2038,300535.445896,,
