year,Base case cost,"Eek, alaska heat recovery study"
2019,232587.870532,235460.53381
2020,240325.397186,241959.936911
2021,245787.180707,246396.677898
2022,249883.518348,249600.74744
2023,252614.410108,251571.846137
2024,254890.153242,253139.978855
2025,257621.045003,255135.157319
2026,261262.234017,257972.251318
2027,263993.125777,259990.39404
2028,266268.868911,261604.468188
2029,269454.909298,264059.65996
2030,271275.503805,265279.972617
2031,274916.692819,268171.198883
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
