year,Base case cost,Modeled solar power (pv)
2016,117979.4088,126238.735186
2017,141032.525883,148705.867235
2018,158355.261793,165548.913576
2019,182259.774448,188878.347003
2020,193793.164289,200055.635074
2021,202494.081869,208459.483722
2022,209135.542594,214841.054765
2023,213913.137338,219395.069613
2024,217839.33651,223113.000009
2025,222678.772487,227739.138668
2026,229609.305019,234441.562979
2027,234536.469255,239165.502133
2028,239106.248695,243546.602722
2029,245029.344407,249266.200159
2030,249015.946644,253082.838193
2031,255970.928035,259833.947208
2032,262713.060534,266376.898785
2033,268838.937961,272317.556403
2034,276663.292026,279942.445568
2035,281538.682207,284659.799354
