year,Base case cost,Modeled transmission and interties
2021,202494.081869,2212946.87979
2022,209135.542594,2189657.83023
2023,213913.137338,2165562.01277
2024,217839.33651,2141159.04356
2025,222678.772487,2117816.55804
2026,229609.305019,2097591.96211
2027,234536.469255,2076358.22955
2028,239106.248695,2055330.12522
2029,245029.344407,2035809.10138
2030,249015.946644,2015310.33265
2031,255970.928035,1998187.06633
2032,262713.060534,1981386.56354
2033,268838.937961,1965872.10905
2034,276663.292026,1950715.18453
2035,281538.682207,1934073.24782
2036,288203.153624,1919339.77941
2037,293157.643056,1903823.92458
2038,300535.445896,1891667.33768
2039,306272.298827,1877311.56994
2040,314797.040803,1867463.16511
