year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,62128.87,6992.12,45514.86,34585.03
2018,62344.59,6995.54,45514.86,35293.1
2019,62632.22,6999.59,45514.86,36001.17
2020,62919.86,7003.65,45514.86,36709.24
2021,63279.4,7007.99,45514.86,37417.31
2022,63567.03,7011.76,45514.86,38125.38
2023,63854.67,7015.44,45514.86,38833.45
2024,64070.39,7018.85,45514.86,38833.45
2025,64358.03,7022.79,45514.86,39541.52
2026,64861.39,7029.33,45514.86,40957.66
2027,65149.02,7033.83,45514.86,41665.73
2028,65508.56,7038.38,45514.86,42373.8
2029,65868.1,7042.95,45514.86,43081.87
2030,66227.65,7047.58,45514.86,43789.94
2031,66659.1,7054.21,45514.86,45206.08
2032,67018.64,,,45914.15
2033,67378.18,,,46622.22
2034,67809.63,,,47330.29
2035,68169.17,,,48038.36
2036,68456.81,,,48746.43
