year,annotation,diesel generation efficiency
2002,,13.14
2003,,13.07
2004,,13.29
2005,,13.99
2006,,14.28
2007,,12.8
2008,,12.2
2009,,12.03
2010,,12.25
2011,,12.64
2012,,12.15
2013,,13.56
2014,,13.85
2015,,14.31
2016,start of forecast,13.91
2017,,13.91
2018,,13.91
2019,,13.91
2020,,13.91
2021,,13.91
2022,,13.91
2023,,13.91
2024,,13.91
2025,,13.91
2026,,13.91
2027,,13.91
2028,,13.91
2029,,13.91
2030,,13.91
2031,,13.91
2032,,13.91
2033,,13.91
2034,,13.91
2035,,13.91
2036,,13.91
2037,,13.91
2038,,13.91
2039,,13.91
2040,,13.91
