year,Base case cost,Modeled non-residential energy efficiency
2017,426920.749184,430091.402769
2018,447579.094067,447139.981247
2019,475888.677795,471068.022345
2020,488895.783833,481337.258999
2021,498077.270448,488215.660693
2022,504963.385409,493071.640835
2023,509554.128716,495904.465221
2024,513379.748139,498082.582095
2025,517970.491446,500974.456502
2026,524091.482523,505263.987276
2027,528682.22583,508212.176174
2028,532507.845253,510502.953705
2029,537863.712445,514189.430903
2030,540924.207983,515848.072765
2031,547045.199059,520270.350316
