year,Base case cost,Mountain village wind feasibility and conceptual design,Modeled wind power
2019,615991.997091,953218.107496,861899.448629
2020,657518.651729,985096.034562,890937.238365
2021,688152.961178,1008919.47749,912755.878471
2022,710606.126915,1026832.06554,929331.931313
2023,728544.524181,1041365.02955,942862.493907
2024,744620.1132,1054602.75752,955264.887367
2025,763371.066398,1069948.27745,969608.005893
2026,784607.22667,1087211.43226,985701.692382
2027,803742.150944,1102940.92327,1000428.78198
2028,820729.762689,1117090.67396,1013743.19817
2029,842827.480917,1135215.38672,1030698.44261
2030,858324.553516,1148442.17048,1043256.95877
2031,883481.606997,1169058.64628,1062536.89935
2032,906509.632288,1188113.6661,1080422.45086
2033,929773.159837,1207404.18818,1098543.50462
2034,955991.436233,1229081.88689,1118884.66813
2035,975431.343246,1245683.93285,1134651.37958
2036,1002461.4442,1268173.45613,1155804.36764
2037,1022321.89096,1285196.04184,1171991.61884
2038,1050188.68318,1308522.25637,1193981.29816
