year,Base case diesel consumed,Modeled residential ashp
2017,266472.678543,57603.0572754
2018,273411.064754,64541.4434857
2019,280349.450964,71479.829696
2020,288675.514417,79805.8931484
2021,295613.900627,86744.2793588
2022,303939.964079,95070.3428112
2023,312266.027532,103396.406264
2024,320592.090984,111722.469716
2025,328918.154436,120048.533168
2026,337244.217889,128374.596621
2027,345570.281341,136700.660073
2028,353896.344794,145026.723526
2029,363610.085488,154740.46422
2030,371936.148941,163066.527672
2031,381649.889635,172780.268367
