year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,525980
2004,,0,0,0,0,0,512148
2005,,0,0,0,0,0,505110
2006,,0,0,0,0,0,469223
2007,,0,0,0,0,0,429330
2008,,0,0,0,0,0,441701
2009,,0,0,0,0,0,477856
2010,,0,0,0,0,0,487606
2011,,0,0,0,0,0,477294
2012,,0,0,0,0,0,551980
2013,,0,0,0,0,0,452576
2014,start of forecast,0,0,0,0,0,493000
2015,,0,0,0,0,0,493000
2016,,0,0,0,0,0,493000
2017,,0,0,0,0,0,492000
2018,,0,0,0,0,0,492000
2019,,0,0,0,0,0,492000
2020,,0,0,0,0,0,491000
2021,,0,0,0,0,0,491000
2022,,0,0,0,0,0,491000
2023,,0,0,0,0,0,491000
2024,,0,0,0,0,0,490000
2025,,0,0,0,0,0,490000
2026,,0,0,0,0,0,490000
2027,,0,0,0,0,0,490000
2028,,0,0,0,0,0,489000
2029,,0,0,0,0,0,489000
2030,,0,0,0,0,0,489000
2031,,0,0,0,0,0,489000
2032,,0,0,0,0,0,489000
2033,,0,0,0,0,0,489000
2034,,0,0,0,0,0,489000
2035,,0,0,0,0,0,489000
2036,,0,0,0,0,0,489000
2037,,0,0,0,0,0,489000
2038,,0,0,0,0,0,489000
2039,,0,0,0,0,0,489000
2040,,0,0,0,0,0,489000
