year,Base case cost,Modeled solar power
2020,129468.828122,133332.992684
2021,134521.270195,138228.253884
2022,138310.60175,141878.154015
2023,140836.822786,144282.277999
2024,142755.927566,146085.660625
2025,145277.003549,148490.263479
2026,148428.348528,151520.945653
2027,151264.55901,154242.709394
2028,153157.295392,156030.478062
2029,155987.717689,158751.674832
2030,157560.174521,160230.864539
2031,161019.57955,163579.334584
2032,164164.493213,166619.15979
2033,167309.406876,169661.425707
2034,170768.811906,173017.325056
2035,172970.25147,175130.525754
2036,176429.656499,178491.046638
2037,178316.604697,180297.24013
2038,181776.009726,183662.15996
2039,184606.432023,186406.524298
