year,Base case cost,Modeled diesel efficiency
2019,122454.834582,273226.867041
2020,129468.828122,275808.593
2021,134521.270195,276696.027042
2022,138310.60175,276522.031028
2023,140836.822786,275284.569349
2024,142755.927566,273578.012523
2025,145277.003549,272499.58971
2026,148428.348528,272073.13036
2027,151264.55901,271437.325355
2028,153157.295392,270019.148948
2029,155987.717689,269526.980957
2030,157560.174521,267963.050503
2031,161019.57955,268184.686158
2032,164164.493213,268188.934895
2033,167309.406876,268260.092167
2034,170768.811906,268682.491041
2035,172970.25147,268025.093873
2036,176429.656499,268573.61509
2037,178316.604697,267753.483055
2038,181776.009726,268422.283927
