year,Base case diesel consumed,Modeled solar power
2020,31577.7629566,31214.5646111
2021,31577.7629566,31217.4701978
2022,31577.7629566,31220.3525399
2023,31577.7629566,31223.2118232
2024,31513.4497937,31161.7350694
2025,31513.4497937,31164.5487872
2026,31513.4497937,31167.3399953
2027,31513.4497937,31170.1088737
2028,31449.1366309,31108.5424382
2029,31449.1366309,31111.2671917
2030,31449.1366309,31113.9701472
2031,31449.1366309,31116.6514791
2032,31449.1366309,31119.3113603
2033,31449.1366309,31121.9499625
2034,31449.1366309,31124.5674558
2035,31449.1366309,31127.1640092
2036,31449.1366309,31129.7397902
2037,31449.1366309,31132.2949649
2038,31449.1366309,31134.8296983
2039,31449.1366309,31137.3441537
