year,Base case diesel consumed,Modeled transmission and interties
2021,58397.3072929,29198.6536464
2022,58397.3072929,29198.6536464
2023,58397.3072929,29198.6536464
2024,58202.6496019,29101.3248009
2025,58202.6496019,29101.3248009
2026,58007.9919109,29003.9959555
2027,58007.9919109,29003.9959555
2028,57813.3342199,28906.66711
2029,57813.3342199,28906.66711
2030,57813.3342199,28906.66711
2031,57618.676529,28809.3382645
2032,57618.676529,28809.3382645
2033,57424.018838,28712.009419
2034,57424.018838,28712.009419
2035,57229.361147,28614.6805735
2036,57229.361147,28614.6805735
2037,57229.361147,28614.6805735
2038,57229.361147,28614.6805735
2039,57034.703456,28517.351728
2040,57034.703456,28517.351728
