year,Base case cost,Modeled water and wastewater efficiency
2017,15335.9999787,12091.5110581
2018,16237.1920595,12512.9645074
2019,17496.0033181,13139.9031029
2020,18063.0128685,13375.0836959
2021,18456.5666601,13513.6340432
2022,18741.0789321,13592.0692173
2023,18931.9987453,13619.1924341
2024,19075.562121,13621.2746337
2025,19271.8709619,13655.1995638
2026,19503.5203823,13711.088462
2027,19688.0214118,13741.920195
2028,19824.0859623,13746.9287585
2029,20034.1882776,13795.7275323
2030,20149.3776464,13792.1888712
2031,20362.570271,13846.0407252
