year,Base case cost,Modeled non-residential energy efficiency
2017,368034.15495,383958.970173
2018,393247.758898,406714.228571
2019,427916.464325,438403.420049
2020,443674.966792,452294.906588
2021,455021.088568,462050.703533
2022,463215.509851,468858.33229
2023,468888.570739,473311.302518
2024,473300.95143,476597.159922
2025,478974.012318,481091.51038
2026,485907.753404,486793.874746
2027,491580.814292,491327.688533
2028,495993.194983,494692.494729
2029,502296.59597,499857.967794
2030,506078.636562,502665.502946
2031,513012.377647,508460.891796
