year,Base case diesel consumed,Modeled residential ashp
2017,4274.52829579,-22727.9681593
2018,4274.52829579,-22727.9681593
2019,4274.52829579,-22727.9681593
2020,4274.52829579,-22727.9681593
2021,4107.10214998,-22895.3943051
2022,4107.10214998,-22895.3943051
2023,4107.10214998,-22895.3943051
2024,4107.10214998,-22895.3943051
2025,4107.10214998,-22895.3943051
2026,4107.10214998,-22895.3943051
2027,3939.67600416,-23062.8204509
2028,3939.67600416,-23062.8204509
2029,3939.67600416,-23062.8204509
2030,3939.67600416,-23062.8204509
2031,3939.67600416,-23062.8204509
