year,Base case cost,Modeled non-residential energy efficiency
2017,1004004.48763,1019749.44433
2018,1052205.78221,1064125.74565
2019,1116474.17498,1123294.14741
2020,1146823.13823,1151234.78157
2021,1168245.93582,1170957.58216
2022,1184313.03402,1185749.6826
2023,1195024.43281,1195611.08289
2024,1203950.59847,1203828.91647
2025,1214661.99727,1213690.31676
2026,1227158.6292,1225195.28377
2027,1239655.26112,1236700.25078
2028,1248581.42679,1244918.08436
2029,1261078.05871,1256423.05137
2030,1268218.99124,1262997.31823
2031,1280715.62317,1274502.28524
