year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,16390.5945184,14335.1112419
2018,16406.6162296,14349.12373
2019,16423.0213259,14363.4715245
2020,16439.4226857,14377.816051
2021,16455.4808271,14391.8604008
2022,16471.4767835,14405.850364
2023,16487.2997962,14419.6890718
2024,16503.2451772,14433.6348021
2025,16519.1282398,14447.5260291
2026,16534.9564568,14461.3692885
2027,16550.4634737,14474.9316282
2028,16565.711075,14488.2670848
2029,16582.9635419,14503.3559843
2030,16599.6357935,14517.937431
2031,16615.4884309,14531.8020482
