year,Base case cost,Modeled water and wastewater efficiency
2017,125608.248196,103908.430029
2018,131991.500627,109228.756164
2019,140450.891905,116282.785275
2020,144605.073745,119738.26767
2021,147624.221124,122245.193737
2022,149964.949004,124185.014736
2023,151621.795819,125553.424344
2024,153055.792978,126735.374494
2025,154722.432856,128111.53958
2026,156622.962762,129682.907432
2027,158522.826041,131253.824869
2028,159960.852019,132439.142176
2029,161903.142527,134043.296215
2030,163144.50231,135062.610621
2031,165070.272262,136653.998829
