year,Base case diesel consumed,Modeled residential energy efficiency
2017,17043.3944709,11480.3519456
2018,17043.3944709,11480.3519456
2019,18065.9388582,12502.8963328
2020,18065.9388582,12502.8963328
2021,18065.9388582,12502.8963328
2022,18065.9388582,12502.8963328
2023,18065.9388582,12502.8963328
2024,18065.9388582,12502.8963328
2025,18065.9388582,12502.8963328
2026,18065.9388582,12502.8963328
2027,19088.4832455,13525.4407201
2028,19088.4832455,13525.4407201
2029,19088.4832455,13525.4407201
2030,19088.4832455,13525.4407201
2031,19088.4832455,13525.4407201
