year,Base case cost,Modeled water and wastewater efficiency
2017,71833.7905182,52360.206803
2018,76118.122197,55129.0388322
2019,81626.0681187,58717.3678644
2020,84194.8235313,60345.3297031
2021,86028.5396222,61484.6733643
2022,87249.8024434,62217.1720511
2023,88225.9618762,62788.0666442
2024,88957.0982446,63197.3404032
2025,89810.412059,63690.1646283
2026,90908.2497957,64348.2021578
2027,91761.1712373,64844.5106028
2028,92491.6063242,65260.7954802
2029,93466.590202,65842.1537396
2030,94074.5089735,66180.0143279
2031,95049.3056667,66764.5624732
