year,Base case diesel consumed,Modeled residential ashp
2017,4531.33329933,-9887.35399988
2018,4531.33329933,-9887.35399988
2019,4803.19753624,-9615.48976297
2020,4803.19753624,-9615.48976297
2021,4803.19753624,-9615.48976297
2022,4803.19753624,-9615.48976297
2023,4803.19753624,-9615.48976297
2024,4803.19753624,-9615.48976297
2025,4803.19753624,-9615.48976297
2026,4803.19753624,-9615.48976297
2027,5075.06177315,-9343.62552607
2028,5075.06177315,-9343.62552607
2029,5075.06177315,-9343.62552607
2030,5075.06177315,-9343.62552607
2031,5075.06177315,-9343.62552607
