year,Base case cost,Modeled non-residential energy efficiency
2017,549791.455466,540100.550945
2018,572174.126773,560372.315021
2019,603656.982453,589734.019753
2020,618572.758487,602681.255951
2021,629324.246471,611540.822872
2022,636809.156255,617185.98417
2023,642588.718894,621191.018985
2024,647560.644239,624429.238572
2025,652532.569584,627707.323454
2026,659155.79854,632666.275347
2027,664953.37569,636842.277727
2028,669117.663741,639426.802236
2029,675740.892697,644497.157369
2030,679869.151725,647126.685174
2031,686510.395192,652280.356175
