year,Base case cost,Modeled residential energy efficiency
2017,33050.068285,38612.840656
2018,34603.7556517,39492.5607148
2019,36790.4267604,40833.1861462
2020,37826.2183382,41351.3851329
2021,33863.620983,36957.2647753
2022,34309.5228388,37041.4381926
2023,34656.3353933,37063.8943793
2024,39840.2575173,41944.5629561
2025,40185.5213766,41991.4096241
2026,40645.8731889,42125.766465
2027,41048.6810247,42223.3420309
2028,41336.4009075,42242.6346351
2029,52114.0153214,52707.7692345
2030,62878.9843238,63213.0051459
2031,68857.9371025,68887.9685276
2032,64311.6448063,64041.7833888
2033,59718.9052498,59137.0011373
2034,54982.1778271,54092.1377967
2035,55349.8909688,54220.1318002
2036,56011.774624,54581.420544
