year,Base case cost,Modeled biomass for heat (cordwood)
2017,190709.908379,243919.504372
2018,212516.188379,258943.206202
2019,243206.508379,280561.691485
2020,257744.028379,290261.726574
2021,268243.348379,297000.445126
2022,275512.108379,301374.452365
2023,281165.588379,304577.548623
2024,286011.428379,307206.365828
2025,290857.268379,309857.548789
2026,297318.388379,313724.936486
2027,302971.868379,317016.472248
2028,307010.068379,319134.474567
2029,313471.188379,323064.363187
2030,317509.388379,325222.571828
2031,323970.508379,329191.724435
2032,,
2033,,
2034,,
2035,,
2036,,
