year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,80763.7294229,59765.159773
2018,80763.7294229,59765.159773
2019,80763.7294229,59765.159773
2020,80763.7294229,59765.159773
2021,80763.7294229,59765.159773
2022,80763.7294229,59765.159773
2023,80763.7294229,59765.159773
2024,80763.7294229,59765.159773
2025,80763.7294229,59765.159773
2026,80763.7294229,59765.159773
2027,80763.7294229,59765.159773
2028,80763.7294229,59765.159773
2029,80763.7294229,59765.159773
2030,80763.7294229,59765.159773
2031,80763.7294229,59765.159773
