year,Base case diesel consumed,Modeled residential ashp
2017,10401.9239183,4647.52626375
2018,10401.9239183,4647.52626375
2019,10401.9239183,4647.52626375
2020,10401.9239183,4647.52626375
2021,8955.92757897,3201.52992444
2022,8955.92757897,3201.52992444
2023,8955.92757897,3201.52992444
2024,10401.9239183,4647.52626375
2025,10401.9239183,4647.52626375
2026,10401.9239183,4647.52626375
2027,10401.9239183,4647.52626375
2028,10401.9239183,4647.52626375
2029,13293.9165969,7539.51894236
2030,16185.9092755,10431.511621
2031,17631.9056148,11877.5079603
