year,Base case cost,Modeled residential energy efficiency
2017,859510.806489,836518.958875
2018,920906.698134,888689.382585
2019,988751.481061,944911.612194
2020,1025902.7403,975618.984158
2021,1067846.73713,1012285.15107
2022,1093447.39551,1033549.96941
2023,1114999.42269,1051484.10745
2024,1135298.57761,1068436.45923
2025,1168960.91385,1098576.24058
2026,1194270.32661,1119963.38908
2027,1228741.65035,1151003.07576
2028,1250032.95974,1169129.46882
2029,1286810.36589,1202339.09023
2030,1305382.23594,1218276.42508
2031,1344526.78015,1253713.02019
2032,1371728.91836,1277247.10619
2033,1411835.08922,1313724.1866
2034,1439724.10361,1338022.15917
2035,1475613.74021,1371026.47175
2036,1504143.83904,1396038.97159
