year,Base case cost,Modeled diesel efficiency
2019,293085.958247,487531.654332
2020,318107.119349,505096.3705
2021,336868.00639,517091.376724
2022,352626.372342,526475.420173
2023,365536.121107,533385.633764
2024,378077.466197,540074.042448
2025,391937.946429,548072.121486
2026,408784.60382,558892.774792
2027,425547.250807,569742.394601
2028,440370.720018,578931.996208
2029,460082.962458,592666.396816
2030,473260.078391,600557.878488
2031,492223.567584,613805.505269
2032,511555.023556,627481.207695
2033,531259.06717,641586.993673
2034,553161.138464,657780.212781
2035,569549.358205,669047.974424
2036,590331.627253,684395.418997
2037,608210.922929,697186.895178
2038,628710.234423,712441.354606
