year,Base case diesel consumed,Modeled diesel efficiency
2019,88278.9030866,80253.5482605
2020,90628.8089314,82389.8263012
2021,92292.6044904,83902.3677185
2022,94033.6992913,85485.1811739
2023,95690.0840594,86990.9855086
2024,97442.6459271,88584.2235701
2025,99224.7965644,90204.3605131
2026,101184.307876,91985.734433
2027,103539.477082,94126.7973474
2028,105604.489213,96004.0811027
2029,108254.814696,98413.4679054
2030,110317.03459,100288.213264
2031,112379.809951,102163.463592
2032,114441.839722,104038.036111
2033,116504.181397,105912.892179
2034,118959.384616,108144.895105
2035,120923.430617,109930.39147
2036,122985.755678,111805.232434
2037,125146.280438,113769.345853
2038,127012.16857,115465.607791
