year,Base case diesel consumed,Modeled transmission and interties
2021,445406.447364,222703.223682
2022,448331.941271,224165.970636
2023,451111.160483,225555.580242
2024,454036.65439,227018.327195
2025,457108.422993,228554.211496
2026,460180.191595,230090.095798
2027,463251.960198,231625.980099
2028,466323.7288,233161.8644
2029,469541.772098,234770.886049
2030,472906.090092,236453.045046
2031,476270.408085,238135.204042
2032,479634.726078,239817.363039
2033,482999.044071,241499.522036
2034,486509.63676,243254.81838
2035,490166.504144,245083.252072
2036,493823.371528,246911.685764
2037,497480.238912,248740.119456
2038,501283.380991,250641.690495
2039,505232.797766,252616.398883
2040,509182.21454,254591.10727
