year,Base case cost,Modeled non-residential energy efficiency
2017,1460004.57218,1471374.61901
2018,1534731.48891,1533076.34287
2019,1635325.41526,1617891.73026
2020,1684185.32235,1656811.13059
2021,1718674.66853,1683057.60866
2022,1741667.56598,1699184.49279
2023,1758912.23907,1710300.98612
2024,1773282.79998,1718960.53172
2025,1790527.47307,1730272.44534
2026,1810646.25834,1744234.46418
2027,1827890.93143,1755732.74541
2028,1842261.49234,1764765.13078
2029,1862380.27761,1778996.96235
2030,1873876.72634,1785647.09969
2031,1896869.62379,1802604.24785
