year,Base case cost,Mountain village wind feasibility and conceptual design,Modeled wind power
2019,615991.997091,915328.45927,827820.915483
2020,657518.651729,938282.417858,848832.350533
2021,688152.961178,953391.047667,862812.753506
2022,710606.126915,962793.076045,871734.277904
2023,728544.524181,969014.947016,877789.715425
2024,744620.1132,974136.372743,882892.181651
2025,763371.066398,981555.816317,890106.465029
2026,784607.22667,991078.662478,899238.398719
2027,803742.150944,999249.258239,907166.901519
2028,820729.762689,1006017.27489,913842.072418
2029,842827.480917,1016933.26351,924313.679359
2030,858324.553516,1023120.27722,930540.517905
2031,883481.606997,1036861.97791,943637.179879
2032,906509.632288,1049203.35011,955484.373325
2033,929773.159837,1061937.57547,967708.592848
2034,955991.436233,1077212.64092,982291.12939
2035,975431.343246,1087562.11506,992434.181451
2036,1002461.4442,1103945.61133,1008095.31478
2037,1022321.89096,1115005.27985,1018919.42643
2038,1050188.68318,1132508.33325,1035671.66495
