year,Base case cost,Modeled water and wastewater efficiency
2017,93629.2723433,109654.045065
2018,99001.0810312,112356.984813
2019,106116.939543,116294.579582
2020,109959.532773,117984.250469
2021,112914.589364,119081.1183
2022,115159.205198,119707.571481
2023,117061.599223,120118.628436
2024,118805.346916,120441.164315
2025,120769.191959,120937.501464
2026,122956.259196,121609.312771
2027,124977.349765,122185.991192
2028,126830.412592,122665.653867
2029,129120.853162,123468.112112
2030,130846.496092,123897.289263
2031,133404.817444,124922.664704
