year,annotation,diesel generation efficiency
2002,,13.51
2003,,13.57
2004,,13.71
2005,,14.66
2006,,14.8
2007,,14.53
2008,,14.83
2009,,14.63
2010,,14.98
2011,,13.84
2012,,13.42
2013,,13.76
2016,start of forecast,13.67
2017,,13.67
2018,,13.67
2019,,13.67
2020,,13.67
2021,,13.67
2022,,13.67
2023,,13.67
2024,,13.67
2025,,13.67
2026,,13.67
2027,,13.67
2028,,13.67
2029,,13.67
2030,,13.67
2031,,13.67
2032,,13.67
2033,,13.67
2034,,13.67
2035,,13.67
2036,,13.67
2037,,13.67
2038,,13.67
2039,,13.67
2040,,13.67
