year,Base case cost,Modeled solar power (pv)
2016,397662.3868,425359.486658
2017,476187.762882,502020.937229
2018,535767.640422,560075.046761
2019,615991.997091,638504.165372
2020,657518.651729,678865.161318
2021,688152.961178,708522.261039
2022,710606.126915,730149.723259
2023,728544.524181,747345.828825
2024,744620.1132,762728.575212
2025,763371.066398,780771.478931
2026,784607.22667,801284.774484
2027,803742.150944,819744.897113
2028,820729.762689,836104.654435
2029,842827.480917,857528.127762
2030,858324.553516,872458.2097
2031,883481.606997,896941.187004
2032,906509.632288,919340.714836
2033,929773.159837,941990.495089
2034,955991.436233,967579.917485
2035,975431.343246,986493.462561
