year,Base case cost,Modeled wind power
2019,314081.928038,479099.568502
2020,334002.354238,491720.973308
2021,348068.5424,499531.132203
2022,359222.305914,504999.049314
2023,367428.378286,508087.12003
2024,374928.386056,510681.875778
2025,383237.319037,514060.869177
2026,392740.904509,518607.649913
2027,401548.711439,522664.867526
2028,410039.119921,526608.825122
2029,419759.447389,531632.001248
2030,426429.223107,534157.566453
2031,437066.479425,540143.185692
2032,448201.874973,546705.647171
2033,459801.612695,553691.70542
2034,471127.300368,560596.374538
2035,479705.140367,565179.304939
2036,491559.825454,572640.245589
2037,499461.724314,576806.320899
2038,511474.373906,584563.392394
