year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6631.82667738,1095.94595681
2018,6634.60978964,1096.40588147
2019,6637.46816442,1096.87824368
2020,6640.58902395,1097.39398294
2021,6643.80929941,1097.92615123
2022,6647.15421176,1098.47891646
2023,6650.05235292,1098.95785028
2024,6653.17574789,1099.47400853
2025,6656.58417967,1100.0372707
2026,6660.83371026,1100.73952908
2027,6664.91283259,1101.41362655
2028,6668.9834145,1102.08631268
2029,6673.13112716,1102.77174508
2030,6677.39360183,1103.47614255
2031,6681.44456745,1104.14558697
