year,annotation,Average Load
2003,,262.0
2004,,294.0
2005,,293.0
2006,,281.0
2007,,281.0
2008,,287.0
2009,,290.0
2010,,323.0
2011,,335.0
2012,,334.0
2013,,332.0
2014,,332.0
2015,,326.0
2016,start of forecast,333.0
2017,,334.0
2018,,334.0
2019,,335.0
2020,,336.0
2021,,336.0
2022,,337.0
2023,,337.0
2024,,338.0
2025,,338.0
2026,,338.0
2027,,338.0
2028,,338.0
2029,,338.0
2030,,339.0
2031,,338.0
2032,,338.0
2033,,338.0
2034,,338.0
2035,,339.0
2036,,340.0
2037,,340.0
2038,,341.0
2039,,341.0
2040,,342.0
