year,Base case diesel consumed,Togiak (quigmy river),Togiak (kurtluk river)
2021,229049.301283,91679.5295932,120934.203204
2022,229345.326229,91975.5545383,121230.228149
2023,229715.35741,92345.5857197,121600.25933
2024,230011.382355,92641.6106648,121896.284276
2025,230307.4073,92937.63561,122192.309221
2026,229937.376119,92567.6044286,121822.278039
2027,230085.388591,92715.6169011,121970.290512
2028,230159.394828,92789.6231374,122044.296748
2029,230381.413536,93011.6418462,122266.315457
2030,230603.432245,93233.6605551,122488.334166
2031,230233.401064,92863.6293737,122118.302984
2032,230307.4073,92937.63561,122192.309221
2033,230233.401064,92863.6293737,122118.302984
2034,230307.4073,92937.63561,122192.309221
2035,230603.432245,93233.6605551,122488.334166
2036,231565.513317,94195.7416267,123450.415237
2037,231713.525789,94343.7540993,123598.42771
2038,232157.563207,94787.7915169,124042.465128
2039,232527.594389,95157.8226983,124412.496309
2040,233045.638042,95675.8663523,124930.539963
2041,234377.750295,97007.9786053,126262.652216
2042,235043.806422,97674.0347318,126928.708342
2043,235487.84384,98118.0721495,127372.74576
2044,235857.875021,98488.1033309,127742.776942
2045,236819.956093,99450.1844025,128704.858013
2046,237708.030928,100338.259238,129592.932849
2047,238892.130709,101522.359018,130777.032629
2048,240002.224253,102632.452562,131887.126173
2049,241408.342742,104038.571052,133293.244662
2050,242814.461231,105444.689541,134699.363152
2051,242814.461231,105444.689541,134699.363152
2052,242814.461231,105444.689541,134699.363152
2053,242814.461231,105444.689541,134699.363152
2054,242814.461231,105444.689541,134699.363152
2055,242814.461231,105444.689541,134699.363152
2056,242814.461231,105444.689541,134699.363152
2057,242814.461231,105444.689541,134699.363152
2058,242814.461231,105444.689541,134699.363152
2059,242814.461231,105444.689541,134699.363152
2060,242814.461231,105444.689541,134699.363152
2061,242814.461231,105444.689541,134699.363152
2062,242814.461231,105444.689541,134699.363152
2063,242814.461231,105444.689541,134699.363152
2064,242814.461231,105444.689541,134699.363152
2065,242814.461231,105444.689541,134699.363152
2066,242814.461231,105444.689541,134699.363152
2067,242814.461231,105444.689541,134699.363152
2068,242814.461231,105444.689541,134699.363152
2069,242814.461231,105444.689541,134699.363152
2070,242814.461231,105444.689541,134699.363152
