year,Base case diesel consumed,Modeled solar power (pv)
2016,226829.114195,222918.991977
2017,227643.182794,223764.341554
2018,227717.18903,223869.37852
2019,228383.245157,224566.21713
2020,228753.276338,224966.784536
2021,229049.301283,225293.101415
2022,229345.326229,225619.17596
2023,229715.35741,226019.016343
2024,230011.382355,226344.612017
2025,230307.4073,226669.971125
2026,229937.376119,226329.039433
2027,230085.388591,226505.918599
2028,230159.394828,226608.560595
2029,230381.413536,226858.985978
2030,230603.432245,227109.184107
2031,230233.401064,226767.106911
2032,230307.4073,226868.8435
2033,230233.401064,226822.345774
2034,230307.4073,226923.640453
2035,230603.432245,227246.735533
