year,Base case diesel consumed,Modeled wind power
2019,228383.245157,162283.643338
2020,228753.276338,162653.674519
2021,229049.301283,162949.699464
2022,229345.326229,163245.724409
2023,229715.35741,163615.755591
2024,230011.382355,163911.780536
2025,230307.4073,164207.805481
2026,229937.376119,163837.7743
2027,230085.388591,163985.786772
2028,230159.394828,164059.793009
2029,230381.413536,164281.811717
2030,230603.432245,164503.830426
2031,230233.401064,164133.799245
2032,230307.4073,164207.805481
2033,230233.401064,164133.799245
2034,230307.4073,164207.805481
2035,230603.432245,164503.830426
2036,231565.513317,165465.911498
2037,231713.525789,165613.92397
2038,232157.563207,166057.961388
