year,Base case cost,Togiak waste heat recovery project
2019,862834.351412,843731.984716
2020,899765.017108,877282.29867
2021,924385.460906,899365.820843
2022,942850.793754,915726.159917
2023,955161.015653,926362.825398
2024,965419.533902,935104.74558
2025,979781.45945,947695.563643
2026,994143.384999,960305.415475
2027,1006453.6069,971019.151322
2028,1018763.8288,981751.039183
2029,1033125.75434,994415.357276
2030,1041332.56894,1001352.87553
2031,1057746.19814,1015966.11377
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
