year,Base case cost,Modeled transmission and interties
2021,739829.243145,
2022,761426.483079,
2023,776437.908046,
2024,788939.041478,
2025,806075.925551,
2026,820876.432744,
2027,835209.960586,
2028,849288.166914,
2029,866234.114897,
2030,876293.042532,
2031,893305.596128,
2032,909714.258836,
2033,927840.606287,
2034,946563.444004,
2035,961616.312463,
2036,984153.431597,
2037,996368.160895,
2038,1016850.12685,
2039,1032422.51909,
2040,1058027.19671,
