year,Base case diesel consumed,Togiak waste heat recovery project
2019,205170.36498,191470.36498
2020,205170.36498,191470.36498
2021,205170.36498,191470.36498
2022,205170.36498,191470.36498
2023,205170.36498,191470.36498
2024,205170.36498,191470.36498
2025,205170.36498,191470.36498
2026,205170.36498,191470.36498
2027,205170.36498,191470.36498
2028,205170.36498,191470.36498
2029,205170.36498,191470.36498
2030,205170.36498,191470.36498
2031,205170.36498,191470.36498
2032,205170.36498,191470.36498
2033,205170.36498,191470.36498
2034,205170.36498,191470.36498
2035,205170.36498,191470.36498
2036,205170.36498,191470.36498
2037,205170.36498,191470.36498
2038,205170.36498,191470.36498
