year,Base case cost,Modeled wind power
2019,669162.90831,940347.134762
2020,711422.689412,963655.687179
2021,739829.243145,976693.235928
2022,761426.483079,984811.153763
2023,776437.908046,988228.205403
2024,788939.041478,989890.162348
2025,806075.925551,995250.858932
2026,820876.432744,998458.887325
2027,835209.960586,1001941.90372
2028,849288.166914,1005344.7968
2029,866234.114897,1011223.95928
2030,876293.042532,1012070.87656
2031,893305.596128,1017784.32842
2032,909714.258836,1023615.79567
2033,927840.606287,1030757.99057
2034,946563.444004,1038648.63605
2035,961616.312463,1044142.83963
2036,984153.431597,1056141.08577
2037,996368.160895,1059646.15917
2038,1016850.12685,1069868.98323
