year,Base case cost,Modeled solar power (pv)
2016,435511.899254,465243.487794
2017,521302.888599,548874.939028
2018,582956.003918,608794.244881
2019,669162.90831,692919.722968
2020,711422.689412,733857.086236
2021,739829.243145,761193.97876
2022,761426.483079,781856.591902
2023,776437.908046,796065.266976
2024,788939.041478,807819.087528
2025,806075.925551,824153.680468
2026,820876.432744,838170.43509
2027,835209.960586,851774.14269
2028,849288.166914,865139.701627
2029,866234.114897,881354.574299
2030,876293.042532,890804.245901
2031,893305.596128,907083.839647
2032,909714.258836,922810.756085
2033,927840.606287,940237.167136
2034,946563.444004,958276.191701
2035,961616.312463,972728.162256
