year,Base case cost,Togiak (quigmy river),Togiak (kurtluk river)
2021,739829.243145,2378981.40176,1466332.66331
2022,761426.483079,2348635.05603,1458217.94274
2023,776437.908046,2316372.67923,1446930.91342
2024,788939.041478,2283771.74181,1434587.17416
2025,806075.925551,2254242.9388,1425398.90239
2026,820876.432744,2223268.40606,1414331.41823
2027,835209.960586,2193934.48633,1404217.61433
2028,849288.166914,2165194.63255,1394284.47501
2029,866234.114897,2138914.18071,1386670.63514
2030,876293.042532,2110270.20602,1375508.19308
2031,893305.596128,2084419.63293,1367808.5814
2032,909714.258836,2059975.50195,1360875.81574
2033,927840.606287,2036765.64349,1355073.75829
2034,946563.444004,2014889.00169,1350246.34886
2035,961616.312463,1992537.48866,1344066.68432
2036,984153.431597,1975897.18424,1343783.49012
2037,996368.160895,1953334.07821,1336452.72228
2038,1016850.12685,1935994.79865,1334810.49393
2039,1032422.51909,1916875.92888,1330542.98306
2040,1058027.19671,1903477.07436,1332738.9177
2041,1064074.98634,1883523.55867,1325440.37467
2042,1067098.88116,1861155.55375,1315430.7415
2043,1069114.81103,1838374.70664,1304718.61675
2044,1070794.7526,1815839.04558,1293968.81742
2045,1075162.60066,1796558.84431,1286198.24669
2046,1079194.46041,1777496.90585,1278376.18182
2047,1084570.27342,1760320.18159,1272175.89659
2048,1089610.09811,1743336.04411,1265910.93785
2049,1095993.87605,1728212.04629,1261254.88812
2050,1102377.65399,1713592.13711,1256857.58443
2051,1102377.65399,1693080.72393,1246329.18441
2052,1102377.65399,1673050.04699,1236047.54376
2053,1102377.65399,1653488.83912,1226006.8791
2054,1102377.65399,1634386.09689,1216201.54243
2055,1102377.65399,1615731.07524,1206626.01837
2056,1102377.65399,1597513.28068,1197274.92067
2057,1102377.65399,1579722.4657,1188142.98933
2058,1102377.65399,1562348.62288,1179225.0876
2059,1102377.65399,1545381.97964,1170516.19925
2060,1102377.65399,1528812.99199,1162011.42543
2061,1102377.65399,1512632.33999,1153705.98224
2062,1102377.65399,1496830.92204,1145595.19788
2063,1102377.65399,1481399.84977,1137674.51001
2064,1102377.65399,1466330.44339,1129939.46333
2065,1102377.65399,1451614.22612,1122385.70675
2066,1102377.65399,1437242.92014,1115008.99131
2067,1102377.65399,1423208.44176,1107805.16771
2068,1102377.65399,1409502.89636,1100770.18366
2069,1102377.65399,1396118.57471,1093900.08206
2070,1102377.65399,1383047.94814,1087190.9985
