year,Base case cost,Modeled biomass for heat (pellet)
2017,1108473.63418,1229427.56303
2018,1248826.10361,1352403.4921
2019,1429183.06898,1510127.49847
2020,1523208.85171,1592137.92261
2021,1590851.15936,1651326.18032
2022,1642283.75091,1695513.41513
2023,1674148.29452,1722516.44131
2024,1696332.26429,1740458.11118
2025,1728272.47804,1767010.63833
2026,1765026.51576,1797818.84445
2027,1799547.68429,1827599.2092
2028,1831653.89452,1854993.04676
2029,1836865.76854,1854932.35567
2030,1834751.72528,1849336.7329
2031,1859349.18608,1868127.26397
2032,1910571.81675,1912980.86566
2033,1965932.58088,1962585.80991
2034,2023913.5114,2014247.62342
2035,2057029.69752,2043420.60333
2036,2094837.46104,2074956.84959
