year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,479584.0,420788.281568
2018,483793.0,424997.281568
2019,485898.0,427102.281568
2020,488001.0,429205.281568
2021,490803.0,432007.281568
2022,491507.0,432711.281568
2023,492205.0,433409.281568
2024,491502.0,432706.281568
2025,490802.0,432006.281568
2026,490105.0,431309.281568
2027,491502.0,432706.281568
2028,492205.0,433409.281568
2029,484492.0,425696.281568
2030,478882.0,420086.281568
2031,475376.0,416580.281568
2032,477485.0,418689.281568
2033,481690.0,422894.281568
2034,485197.0,426401.281568
2035,487295.0,428499.281568
2036,485892.0,427096.281568
