year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7774.59949326,5053.48967062
2018,7819.21980962,5082.49287625
2019,7840.55960886,5096.36374576
2020,7861.59170039,5110.03460525
2021,7886.7589516,5126.39331854
2022,7896.65688276,5132.82697379
2023,7900.38986307,5135.253411
2024,7892.14383643,5129.89349368
2025,7885.98968233,5125.89329352
2026,7883.31208547,5124.15285555
2027,7891.71466515,5129.61453235
2028,7899.91480556,5134.94462362
2029,7824.26999484,5085.77549665
2030,7767.48712658,5048.86663228
2031,7732.43004178,5026.07952715
