year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,479584.0,426133.34688
2018,483793.0,430342.34688
2019,485898.0,432447.34688
2020,488001.0,434550.34688
2021,490803.0,437352.34688
2022,491507.0,438056.34688
2023,492205.0,438754.34688
2024,491502.0,438051.34688
2025,490802.0,437351.34688
2026,490105.0,436654.34688
2027,491502.0,438051.34688
2028,492205.0,438754.34688
2029,484492.0,431041.34688
2030,478882.0,425431.34688
2031,475376.0,421925.34688
2032,477485.0,424034.34688
2033,481690.0,428239.34688
2034,485197.0,431746.34688
2035,487295.0,433844.34688
2036,485892.0,432441.34688
