year,Base case cost,Modeled water and wastewater efficiency
2017,43989.1774203,77797.3207697
2018,46578.345365,78425.5208705
2019,49826.6564503,79507.3412859
2020,51525.9147069,79592.4453206
2021,52738.8121862,79382.3905726
2022,53678.5250811,79011.6105562
2023,54228.09268,78405.0293012
2024,54606.976221,77705.1655577
2025,55174.0147193,77152.2000808
2026,55852.0926274,76695.1520533
2027,56435.6096075,76200.1060017
2028,57018.7662956,75725.4433218
2029,57072.1434963,74897.4222493
2030,56996.8065969,74009.6650002
2031,57420.3953102,73476.4746407
